id,treatment,accuracy_global_osmosis_draft,accuracy_global_osmosis_revision,global_cohesion_transfer,global_cohesion_revision,sex,prior_knowledge_osmosis,prior_knowledge_natural_selection,levenshtein
1,cmap,0.075,0.075,3.5,3.5,weiblich,3,3.5,130
2,cmap,0.12,0.46,1.5,1,weiblich,2.5,1.5,122
4,cmap,0.025,0.075,1,3.5,weiblich,1.5,1,659
10,cmap,0.055,0.395,1,1.5,weiblich,1.5,0.5,333
11,cmap,0.085,0.125,3,2.5,weiblich,1,2.5,381
15,cmap,0.02,0.215,3,2.5,männlich,3,1.5,645
18,cmap,0.475,0.715,2.5,0.5,weiblich,1,1.5,521
21,cmap,0.32,0.09,2.5,2,weiblich,0.5,0.5,650
29,cmap,0.4,0.2,2.5,3,männlich,2,2.5,412
33,cmap,0.14,0.505,2,1.5,weiblich,0.5,0,NA
37,cmap,0.425,0.425,2,1.5,weiblich,0.5,0,200
48,cmap,0,0.2,3,2,weiblich,2,3,413
54,cmap,0.145,0.03,0.5,2,weiblich,1,1,72
60,cmap,0.01,0.2,3,2,weiblich,1.5,3.5,790
61,cmap,0.205,0.155,2.5,3.5,männlich,0.5,2,1208
63,cmap,0.19,0.18,1.5,3,weiblich,1.5,1.5,439
74,cmap,0.25,0.205,2.5,2.5,weiblich,1.5,1,362
81,cmap,0.135,0.58,3.5,4,weiblich,2,3,1022
83,cmap,0.165,0.195,3,2.5,weiblich,1.5,2,596
86,cmap,0.1,0.385,0.5,2.5,weiblich,0,0.5,440
8,cmap-integrated,0.25,0.055,2.5,3.5,männlich,3,3.5,728
12,cmap-integrated,0.15,0.25,1.5,4,männlich,2,4.5,852
14,cmap-integrated,0.075,0.4,3,4,weiblich,2.5,1.5,923
22,cmap-integrated,0.025,0.015,3,1.5,weiblich,2,1.5,612
24,cmap-integrated,0.055,0.035,2,1.5,männlich,2.5,1.5,98
26,cmap-integrated,0.35,0.095,2,2.5,weiblich,1,0.5,342
35,cmap-integrated,0.03,0.22,1.5,2,weiblich,0.5,2,115
36,cmap-integrated,0.025,0.25,3,4,weiblich,2,1.5,588
39,cmap-integrated,0.375,0.375,3,2.5,weiblich,2,2.5,32
41,cmap-integrated,0.075,0.6,2,4,männlich,1,1.5,710
42,cmap-integrated,0.37,0.16,3.5,3,weiblich,3,0,443
43,cmap-integrated,0.22,0.055,2.5,3.5,männlich,1,3,718
49,cmap-integrated,0.025,0.425,1.5,1.5,männlich,0.5,0,203
51,cmap-integrated,0.0649999999999999,0.155,2.5,3.5,weiblich,3.5,3,260
53,cmap-integrated,0.06,0.125,0.5,2.5,weiblich,1,1,457
55,cmap-integrated,0.1,0.125,2.5,2.5,weiblich,3,3.5,247
57,cmap-integrated,0.1,0.125,2.5,2.5,weiblich,1,0.5,353
64,cmap-integrated,0.16,0.23,1.5,2,männlich,1,0.5,357
66,cmap-integrated,0.055,0.03,2.5,3,weiblich,1.5,2,187
69,cmap-integrated,0.2,0.46,3,4,weiblich,3,2,370
3,control-group,0.4,0.45,NA,2,weiblich,1,2,243
7,control-group,0.55,0.25,0,1,weiblich,1,0.5,528
19,control-group,0.255,0.045,3,3.5,weiblich,1.5,1.5,730
27,control-group,0.225,0.625,2.5,0.5,weiblich,0.5,1,200
28,control-group,0.4,0.375,4,2.5,männlich,3,0.5,NA
30,control-group,0.31,0.075,2.5,2.5,weiblich,4,1.5,449
31,control-group,0.215,0.43,1,3,weiblich,1.5,1.5,670
34,control-group,0.305,0.055,2.5,3.5,weiblich,3,3.5,958
38,control-group,0.475,0.525,2.5,1.5,weiblich,2.5,1,482
40,control-group,0.3,0.125,3,2.5,weiblich,2.5,3.5,236
44,control-group,0.295,0.085,4,3.5,weiblich,2.5,2,664
45,control-group,0.03,0.205,1,2.5,weiblich,2.5,1,456
56,control-group,0.325,0.375,2,2.5,männlich,1,1.5,242
59,control-group,0.325,0.13,3.5,4,weiblich,4,3,772
62,control-group,0.025,0.075,2,2.5,weiblich,3,3,358
65,control-group,0.15,0.2,3,2,männlich,2,1.5,681
67,control-group,0.3,0.325,2,3.5,weiblich,0.5,0,1146
71,control-group,0.21,0.39,0.5,2,weiblich,1,0,262
72,control-group,0.4,0.275,2.5,2.5,weiblich,2,0.5,518
75,control-group,0.125,0.455,1,1.5,weiblich,1,1,461
5,integrated,0.36,0.36,2.5,2,männlich,2,1.5,395
6,integrated,0.365,0.425,2,1.5,weiblich,1.5,2,690
